x-coordinate,y-coordinate,Similarity_score
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16987,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16962,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16917,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1690,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16907,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16927,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16985,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16953,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16964,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16961,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1693,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16942,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16900,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16999,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1692,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16902,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16926,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16991,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16968,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16910,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16925,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16919,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16955,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16994,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16957,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16930,0.7333333333333334
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16966,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16938,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16960,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16944,1.0
